,Name,Type,Duration,Year,Director,Actor,Language,Reviews,Rank,Country,Century
31,gun king,Action / Crime,96,2000,Luo Zhiliang,Leslie Cheung / Fang Zhongxin / Huang Zhuoling,Cantonese,71142,8.2,Hong Kong,21.00
32, Tumen River,Drama,89,2010,Zhang Lu,Yin Lan,Mandarin,4847,8.1,Korea/Mainland China/France,21.10
33,Jing Ke assassinated the king of Qin,Drama / History / Costumes,162,1998,Chen Kaige,Gong Li / Zhang Fengyi / Li Xuejian,Mandarin,57065,8.2,Mainland China/Japan/France,20.90
34, Death and the Maiden,Drama / Mystery / Thriller,103,1994,Roman Polanski,Sigourney Weaver / Ben Kingsley / Stuart Wilson,English,12171,8.2,UK/France,20.90
35,assembly number,Drama / Biography / History / War,124,2007,Feng Xiaogang,Zhang Hanyu / Deng Chao / Yuan Wenkang,Mandarin,242632,8.2,Mainland China/Hong Kong,21.00
36,Silmido Island,Action / Drama,135,2003,Kang Youshuo,Xue Jingqiu / An Shengji / Xu Junhao,Korean,35113,8.1,South Korea,21.00
37,mine warfare,Drama / War,74,1963,Tang Yingqi / Xu Da / Wu Jianhai,Bai Dajun / Wu Jianhai / Zhang Changrui,Mandarin,37696,8.0,Mainland China,20.60
38, Orphan,Mystery / Thriller / Horror,123,2009,Zomi Hilla,Vera Farmiga / Peter Sarsgaard / Isabella Furman,English,435119,8.2,USA/Canada/Germany/France,21.00
39, Julie & Julia,Drama / Biography,123,2009,Nora Ephron,Meryl Streep / Amy Adams / Stanley Tucci,English,104100,8.1,USA,21.00
40,2 クローズZERO II,Action,133,2009,Takashi Miike,Shun Oguri / Kyosuke Yabe / Meisa Kuroki,Japanese,91219,8.1,Japan,21.00
41, Law Abiding Citizen,Drama / Action / Crime,108,2009,F. Gary Gray,Jamie Foxx / Gerard Butler / Colm Meaney,English,107875,8.0,USA,21.00
42, Das weiße Band – Eine deutsche Kindergeschichte,Drama / Suspense,144,2009,Michael Haneke,Christian Friedel / Ernst Jacobi / Leonie Benesch,German,29545,8.2,Germany/Austria/France/Italy,21.00
43, My One and Only,Drama / Comedy / Family,108,2009,Richard Longcrane,"Renee Zellweger, Logan Lerman, Mark Randall",English,6258,8.0,USA,21.00
44, The Boys Are Back,Drama / Family,104,2009,Scott Hicks,Clive Owen / Laura Fraser / George MacKay,English,6799,8.0,Australia/UK,21.00
45, Ágora,Adventure / Drama / History / Romance,127,2009,Alejandro Amenaval,Rachel Weisz / Max Minghella / Oscar Isaac,English,17763,8.1,Spain,21.00
46,Deer Doctor,Drama,127,2009,Miwa Nishikawa,Shofukutei Tsubasa / Eita Nagayama / Kaoru Yachigusa,Japanese,5137,8.0,Japan,21.00
47, Cracks,Drama / Thriller,104,2009,Jordan Scott,Eva Green / Juno Temple / Maria Waward,English,83350,8.0,UK/Ireland/Spain/France/Switzerland,21.00
48,spring night,Drama / Gay,106,2009,Lou Ye,Qin Hao / Chen Sicheng / Tan Zhuo,Mandarin,115170,8.1,Mainland China/France,21.00
49,seven days after the father,Drama / Family,91,2010,Liu Zijie / Wang Yulin,Wang Liwen / Wu Pengfeng / Chen Jiaxiang,Mandarin,16459,8.0,ChinaTaiwan,21.10
50,Uncle,Drama / Action / Crime / Thriller,119,2010,Li Zhenfan,Won Bin / Kim Sae Ron / Tanayong Wangtraku,Korean,190565,8.2,South Korea,21.10
51, Secretariat,Drama/History/Sports,123,2010,Randall Wallace,"Diane Lane, John Malkovich, Scott Glenn",English,9865,8.1,USA,21.10
52, The Next Three Days,Drama / Action / Romance / Crime / Thriller,133,2010,Paul Haggis,Russell Crowe / Elizabeth Banks / Ty Simpkins,English,82106,8.0,USA/France,21.10
53, Tropa de Elite,Drama / Action / Crime / Thriller,115,2007,Jose Padilla,Wagner Mara / Caio Huenquilla / Andre Ramiro,Portuguese,45287,8.0,Brazil/USA/Argentina,21.00
54, Another Year,Drama,129,2010,Mike Lee,Jim Broadbent / Lesley Manville / Ruth Sheen,English,14087,8.0,UK,21.10
55, Made in Dagenham,Drama / Comedy / Biography,113,2010,Naggie Cole,Sally Hawkins / Rosamund Pike / Miranda Richardson,English,4458,8.1,UK,21.10
56, Biutiful,Drama,148,2010,Alejandro Gonzalez Inarritu,Javier Bardem / Maricel Alvarez / Blanca Portillo,Spanish,17320,8.0,Mexico/Spain,21.10
57, Elle s'appelait Sarah,Drama,111,2010,Gilles Baggett-Buchner,Kristin Scott Thomas / Mélusine Mayance / Nils Ahstup,French,8040,8.1,France,21.10
58, I rymden finns inga känslor,Comedy / Drama / Romance,85,2010,Andreas Öhman,Jimmi Edlund / Kristoffer Berglund / Cecilia Foss,Swedish,8446,8.2,Sweden,21.10
59, Soul Surfer,Drama / Biography / Sports,106,2011,Sean McNamara,Anasophia Robb / Helen Hunt / Dennis Quaid,English,19665,8.2,USA,21.10
60, Rise of the Planet of the Apes,Drama / Action / Science Fiction,105,2011,Rupert Wyatt,Andy Serkis / James Franco / Freida Pinto,English,394040,8.1,USA,21.10
61, Real Steel,Drama / Action / Science Fiction / Sports,127,2011,Sean Levy,Hugh Jackman / Dakota Goyo / Kevin Duran,English,254127,8.3,USA/India,21.10
62, A Better Life,Drama / Family,98,2011,Chris Weitz,Demian Bichir / Jose Julian / Dolores Heredia,English,9781,8.1,USA,21.10
63, Carnage,Drama / Comedy,80,2011,Roman Polanski,Jodie Foster / Kate Winslet / Christopher Waltz,English,69692,8.2,France/Germany/Poland/Spain,21.10
64, Zindagi Na Milegi Dobara,Drama,155,2011,Zoya Akhtar,Hrithik Roshan / Ape Dewar / Farhan Akhtar,Hindi,11057,8.1,India,21.10
65, War Horse,Drama / War,146,2011,Steven Spielberg,Jeremy Irvine / Peter Mullan / Emily Watson,English,218681,8.2,USA,21.10
66,White bunny sugar rabbit drop,Drama / Comedy,113,2011,sabu,Kenichi Matsuyama / Aina Ashida / Chizuru Ikewaki,Japanese,91445,8.0,Japan,21.10
67, Weekend,Drama / Romance / Gay,97,2011,Andrew Haigh,Tom Cullen / Chris New / Jonathan Rhys,English,31029,8.2,UK,21.10
68, Beyond the Gates,Drama / History,115,2005,Michael Catton-Jones,John Hurt / Hugh Dancy / Dominic Horwitz,English,5258,8.2,UK/Germany,21.00
69, Rushmore,Comedy / Drama,93,1998,Wes Anderson,"Jason Schwartzman, Bill Murray, Olivia Williams",English,21687,8.1,USA,20.90
70,The taste of cherries طعم گیلاس,Drama,95,1997,Abbas Kiarostami,Hemayon Ershadi / Abdullahman Bahri / Afsin Khorashid Bakhtiari,Persian,31088,8.0,France/Iran,20.90
71,The wind will blow us away,Drama,118,1999,Abbas Kiarostami,Nag Asadi / Behzad Duran / Rosa Kalamelmi,Persian,13349,8.1,Iran/France,20.90
72, Copie conforme,Drama,106,2010,Abbas Kiarostami,Juliette Binoche / William Simmel / Jean-Claude Carrière,French,19829,8.0,France/Italy/Belgium/Iran,21.10
73, The Piano,Drama / Romance / Music,121,1993,Jane Campion,Holly Hunter / Harvey Keitel / Sam Neill,English,86474,8.1,New Zealand/Australia/France,20.90
74, Music of the Heart,Drama / Music,124,1999,Wes Craven,Meryl Streep / Cloris Leachman / Angela Bassett,English,3085,8.0,USA,20.90
75,five golden flowers,Love / Dance,95,1959,Wang Jiayi,Yang Likun / Mo Zijiang / Sun Jingzhen,Mandarin,9691,8.1,Mainland China,20.50
76, Le gamin au vélo,Drama,87,2011,Jean-Pierre Darney / Luc Darney,"Cecil de France, Thomas Dore, Jeremy Resnais",French,21027,8.2,Belgium/France/Italy,21.10
77, Bound,Drama / Crime / Thriller / Gay,108,1996,Lily Wachowski / Lana Wachowski,Jennifer Tilly / Gina Gershon / Joe Pantoliano,English,29832,8.2,USA,20.90
78, Le silence de la Mer,Drama / Romance / War,88,1949,Jean-Pierre Melville,Howard Vernon / Nicole Stefan / Jean-Marie Robin,French,4652,8.1,France,20.40
79,son's big doll ,Drama,105,1983,Hou Hsiao-hsien / Wan Ren / Zeng Zhuangxiang,Chen Bozheng / Yang Liyin / Cui Fusheng,Minnan Language,6290,8.1,ChinaTaiwan,20.80
80,Maritime flowers,Drama,113,1998,Hou Hsiao-hsien,Tony Leung / Michiko Haneda / Carina Lau,Cantonese,65719,8.2,China Taiwan / Japan,20.90
81,"Goodbye South, Goodbye South",Crime / Drama,124,1996,Hou Hsiao-hsien,Gao Jie / Lin Qiang / Yi Nengjing,Mandarin,15727,8.1,ChinaTaiwan,20.90
82, Orlando,Drama / Romance,93,1992,Sally Potter,Tilda Swinton / Billy Zane / Quentin Crisp,English,18970,8.2,UK/Russia/France/Italy/Netherlands,20.90
83,Witness Human proof,Crime / Drama,132,1977,Junya Sato,Okada Jasmine / Matsuda Yusaku / Bizhao,English,9071,8.2,Japan/US,20.70
84,Underworld 2: Peace is Precious The Underworld is Peaceful,Crime / Drama / Thriller,92,2006,To Qifeng,Gu Tianle / Ren Dahua / Zhang Jiahui,Mandarin,124099,8.2,Hong Kong,21.00
85, Rumble Fish,Drama,94,1983,Francis Ford Coppola,Matt Dillon / Mickey Rourke / Diane Lane,English,5493,8.1,USA,20.80
86, Crimes and Misdemeanors,Comedy / Drama,104,1989,Woody Allen,Bill Bernstein / Martin Landau / Claire Bloom,English,4723,8.0,USA,20.80
87, La tigre e la neve,Drama / Comedy / Romance,114,2005,Roberto Bernini,Roberto Bernini / Jean Reno / Nicoletta Blaschi,Italian,9461,8.1,Italy,21.00
88,new one-armed knife new one-armed knife,Action / Martial Arts / Ancient Costume,102,1971,Zhang Che,David Jiang / Dillon / Li Jing,Mandarin,12166,8.0,Hong Kong,20.70
89, Tootsie,Comedy / Romance,116,1982,Sidney Pollack,"Dustin Hoffman, Jessica Lange, Terry Garr",English,11804,8.1,USA,20.80
90,Mogadishu,Drama / Action,121,2021,Liu Shengwan,Kim Yoon Suk / Jo In Sung / Xu Junhao,Korean,82242,8.1,South Korea,21.20
91, Cool Hand Luke,Crime / Drama,126,1967,Stuart Rosenberg,Paul Newman / George Kennedy / J. D. Cannon,English,5763,8.1,USA,20.60
92, The Nun's Story,Drama,149,1959,Fred Kinneman,Audrey Hepburn / Peter Finch / Edith Evans,English,3845,8.1,USA,20.50
93, My Fair Lady,Drama / Romance / Song And Dance,172,1964,George Cook,Audrey Hepburn / Rex Harrison / Stanley Holloway,English,94702,8.2,USA,20.60
94,Sansho the Bailiff,Drama,124,1954,Mizoguchi Kenji,Kinuyo Tanaka / Kyoko Kagawa / Ichiro Sugai,Japanese,5010,8.1,Japan,20.50
95, Ponette,Comedy / Drama,97,1996,Jacques Duvalon,Vidor Schweso / Delphine Schiltz / Matiaz Bureau Caton,French,3878,8.2,France,20.90
96, Red River,Western / Action / Adventure,133,1948,Howard Hawks / Arthur Rosen,Montgomery Clift / John Wayne / Walter Brennan,English,3332,8.2,USA,20.40
97, Heaven & Earth,Action / Biography / Drama / History / War,140,1993,Oliver Stone,Lai Thi Man / Tommy Lee Jones / Wu Han Run,English,4431,8.2,France/USA,20.90
98,Masculin féminin,Drama,110,1966,Jean-Luc Godard,Jean-Pierre Leaud / Chantal Goya / Marlene Jobel,French,3534,8.0,France/Sweden,20.60
99, Stalingrad,Drama / War,134,1993,Joseph Wilsmaier,Dominic Howitz / Thomas Kretschmann / Jochen Nickel,German,11378,8.2,Germany,20.90
100, The Million Pound Note,Comedy / Romance,90,1954,Ronald Nim,Gregory Peck / Ronald Squire / Joyce Grenfell,English,39366,8.2,UK,20.50
101, En passion,Drama / Romance,101,1969,Ingmar Bergman,Max von Sydow / Liv Uhmann / Bibi Andersson,Swedish,3289,8.1,Sweden,20.60
102, The Home Song Stories,Drama,103,2007,Tony Ayers,Chen Chong / Qi Yuwu / Luo Jiawei,Mandarin,9722,8.0,Australia/Singapore,21.00
103,night run,Drama / Romance / Gay,119,2000,Xu Ligong / Yin Qi,Huang Lei / Liu Ruoying / Yin Zhaode,Mandarin,24745,8.1,Taiwan/Mainland China,21.00
104,The turmoil in the Yingchun Pavilion,Story / Action / Mystery / Martial Arts / Ancient Costume,105,1973,Hu Jinquan,Li Lihua / Qiao Hong / Tian Feng,Mandarin,6685,8.1,Hong Kong,20.70
105,Youth Festival,Drama,96,1985,Zhang Nuanxin,Li Fengxu / Feng Yuanzheng / Song Tao,Mandarin,4818,8.2,Mainland China,20.80
106,Teenage Nezha,Drama,106,1992,Cai Mingliang,Li Kangsheng / Wang Yuwen / Chen Zhaorong,Mandarin,22761,8.0,ChinaTaiwan,20.90
107, Bonnie and Clyde,Action / Biography / Crime,111,1967,Arthur Payne,Warren Beatty / Faye Dunaway / Michael Pollard,English,43135,8.2,USA,20.60
108, Caravaggio,Drama / Biography / Same Sex,93,1986,Derek Jarman,Nigel Terry / Sean Bean / Dexter Fletcher,English,5955,8.1,UK,20.80
109,12 nights,Drama / Romance,92,2000,Lin Aihua,Cecilia Cheung / Eason Chan / Lo Qiaoyin,Cantonese,99544,8.2,Hong Kong,21.00
110,Hudumen,Drama / Comedy / Family,99,1996,Shu Qi,Xiao Fangfang / Anita Yuen / Li Zixiong,Cantonese,7627,8.2,Hong Kong,20.90
111, Pauline à la plage,Comedy / Drama / Romance,94,1983,Eric Rohmer,"Amanda Langler, Ariel Dobasler, Pascal Gregory",French,11907,8.1,France,20.80
112, Rosemary's Baby,Drama / Horror,136,1968,Roman Polanski,Mia Farrow / John Cassavetes / Ruth Gordon,English,53877,8.1,USA,20.60
113, The Man Who Shot Liberty Valance,Drama / Romance / Western,123,1962,John Ford,John Wayne / James Stewart / Vera Miles,English,4212,8.2,USA,20.60
114,Hole,Drama / Fantasy / Song And Dance,95,1998,Cai Mingliang,Li Kangsheng / Yang Guimei / Miao Tian,Mandarin,6742,8.1,Taiwan/France,20.90
115, Touch of Evil,Crime / Film Noir / Thriller,95,1958,Orson Welles,Charlton Heston / Janet Leigh / Orson Welles,English,9743,8.1,USA,20.50
116, Under the Tuscan Sun,Comedy / Drama / Romance,113,2003,Audrey Wells,Diane Lane / Sandra Oh / Lindsay Duncan,English,70199,8.1,USA/Italy,21.00
117, Rio Bravo,Drama / Comedy / Romance / Western,141,1959,Howard Hawks,John Wayne / Dean Martin / Ricky Nelson,English,4186,8.1,USA,20.50
118, Trouble in Paradise,Comedy / Crime / Romance,83,1932,Ernst Lubitsch,Miriam Hopkins / Kay Francis / Herbert Marshall,English,3446,8.2,USA,20.30
119,Blackboard: Home,Drama / War,85,2000,Sharmila Makmalbaf,Said Mohamadi / Behnaz Jafari / Bachman Gobadi,Kurdish,4898,8.0,Iran/Italy/Japan,21.00
120, The Red Shoes,Drama / Romance / Music,135,1948,Michael Powell / Emeric Pressberg,Moira Shearer / Anton Walbrook / Marius Gorlin,English,8819,8.2,UK,20.40
121, The Children's Hour,Drama / Gay,108,1961,William Wheeler,Audrey Hepburn / Shirley MacLaine / James Garner,English,4638,8.1,USA,20.60
122, The Majestic,Drama / Romance,152,2001,Frank Darabont,Jim Carrey / Bob Balaban / Jeffrey Deman,English,12598,8.2,USA,21.00
123, La ley del deseo,Drama / Romance / Gay,102,1987,Pedro Almodovar,Euseio Ponceira / Carmen Maura / Antonio Banderas,Spanish,9023,8.2,Spain,20.80
124, This Is England,Crime / Drama,103,2007,Sean Meades,Thomas Turgers / Andrew Shim / Joe Hartley,English,22644,8.0,UK,21.00
125,Is it a car madness?,Drama,140,1970,Akira Kurosawa,Yoshitaka Tonomura / Koto Sugai / Toshiyuki Tonomura,Japanese,6410,8.0,Japan,20.70
126, Spartacus,Action / Adventure / Biography / Drama / History,184,1960,Stanley Kubrick,Kirk Douglas / Lawrence Oliver / Jane Simmons,English,24214,8.1,USA,20.60
127, Strangers on a Train,Crime / Thriller / Film Noir,101,1951,Alfred Hitchcock,Farley Granger / Robert Walker / Ruth Roman,English,33606,8.1,USA,20.50
128,Qiu Ju's lawsuit,Drama,100,1992,Zhang Yimou,Gong Li / Liu Peiqi / Lei Kesheng,Shaanxi dialect,91711,8.1,Mainland China/Hong Kong,20.90
129,my father and mother,Drama / Romance,89,1999,Zhang Yimou,Zhang Ziyi / Zheng Hao / Sun Honglei,Mandarin,127164,8.2,Mainland China,20.90
130, Star Trek,Action / Adventure / Sci-Fi,127,2009,J.J. Abrams,Chris Pine / Zachary Quinto / Leonard Nimoy,English,157959,8.1,USA/Germany,21.00
131,Hidden Blade Demon Claw,Drama / Romance,132,2004,Yoji Yamada,Masatoshi Nagase / Takako Matsu / Hidetaka Yoshioka,Japanese,6955,8.2,Japan,21.00
132,Hunan girl Xiao Xiao,Drama,110,1988,Xie Fei / Ulan,Na Renhua / Deng Xiaoguang / Zhang Yu,Mandarin,5079,8.1,Mainland China,20.80
133, Tender Mercies,Drama / Music,92,1983,Bruce Beresford,Robert Duvall / Tess Harper / Betty Buckley,English,4877,8.2,USA,20.80
134, Il mostro,Comedy / Mystery / Crime,112,1994,Roberto Bernini,Roberto Benigni / Michelle Brown / Nicoletta Blaschi,Mandarin,4895,8.2,Italy/France,20.90
135, Week End,Comedy / Drama,105,1967,Jean-Luc Godard,"Mireille Dalk, Jean Yanan, Joan-Pierre Calvern",French,4079,8.0,France/Italy,20.60
136, The dust of time,Drama,125,2009,Theo Angelopoulos,Willem Dafoe / Bruno Ganz / Irina Jacobs,English,5018,8.1,Greece/Italy/Germany/Russia,21.00
137,White balloon,Drama / Family,85,1995,Jafar Panasi,Also Muhammad Khan / Mohsen Kafeli / Farshta Sadr Orfi,Persian,7558,8.1,Iran,20.90
138,Dragon Inn ,Action / Adventure / Martial Arts / Ancient Costume,112,1967,Hu Jinquan,Shangguan Lingfeng / Shi Jun / Miao Tian,Mandarin,16857,8.1,ChinaTaiwan,20.60
139,kid king,Drama,106,1987,Chen Kaige,Xie Yuan / Yang Xuewen / Chen Shaohua,Mandarin,27290,8.2,Mainland China,20.80
140,Back to the soul night,Comedy / Fantasy / Horror,82,1995,Liu Zhenwei,Stephen Chow / Karen Mok / Tony Leung,Cantonese,203288,8.1,Hong Kong,20.90
141,It's all guests,Comedy / Drama,93,1990,Ma Shaohui / Shen Rongji,Zhao Benshan / Wang Yanbo / Gong Hanlin,Mandarin,7864,8.3,Mainland China,20.90
142,Tais-toi!,Comedy / Crime,85,2003,Francis Weber,Gérard Depardieu / Jean Reno / Richard Berry,French,192243,8.1,France/Italy,21.00
143,Mud Angel Angel,Crime / Drama,98,1948,Akira Kurosawa,Takashi Shimura / Toshiro Mifune / Reisaburo Yamamoto,Japanese,10382,8.1,Japan,20.40
144, Zéro de conduite: Jeunes diables au collège,Comedy / Short Film / Drama,44,1933,Jean Viggo,Jean Dasto / Robert le Flon / Du Verron,French,6449,8.1,France,20.30
145, The Birds,Mystery / Thriller / Disaster,119,1963,Alfred Hitchcock,Rod Taylor / Jessica Tandy / Suzanne Pleshette,English,61960,8.1,USA,20.60
146,About Eli,Drama / Suspense,119,2009,Asghar Farhadi,Golshifteh Farahani / Tarane Aridosti / Marila Zare'i,Persian,7069,8.1,Iran,21.00
147, Stardust Memories,Comedy / Drama,89,1980,Woody Allen,Woody Allen / Charlotte Rampling / Jessica Harper,English,7286,8.1,USA,20.80
148, La femme de l'aviateur,Comedy / Drama / Romance,108,1981,Eric Rohmer,Philippe Mallaud / Anne-Laure Meury / Marie Riviere,French,9195,8.2,France,20.80
149, La boum,Comedy / Romance,110,1980,Claude Pinotto,Claude Blaser / Brigitte Fossey / Sophie Marceau,French,134340,8.1,France,20.80
150, Notting Hill,Comedy / Romance,124,1999,Roger Mitchell,Julia Roberts / Hugh Grant / Richard McCabe,English,328918,8.0,UK/USA,20.90
151, Revolutionary Road,Drama / Romance,119,2008,Sam Mendes,Kate Winslet / Leonardo DiCaprio / Christopher Fitzgerald,English,196683,8.2,USA/UK,21.00
152,Police story,Action / Comedy / Thriller / Crime,101,1985,Jackie Chan,Jackie Chan / Brigitte Lin / Maggie Cheung,Cantonese,100570,8.1,Hong Kong,20.80
153,laughing proudly,Action / Martial Arts / Ancient Costume,118,1990,Hu Jinquan / Tsui Hark / Li Huimin / Cheng Xiaodong,Xu Guanjie / Ye Tong / Zhang Xueyou,Cantonese,94426,8.0,Hong Kong / Taiwan,20.90
154,Chrysanthemum,Drama,95,1990,Zhang Yimou / Yang Fengliang,Gong Li / Li Baotian / Li Wei,Mandarin,94541,8.2,Mainland China/Japan,20.90
155, Le Havre,Drama,93,2011,Aki Kaurismaki,André Wilmes / Katie Otining / Jean-Pierre Darussen,Finnish,9399,8.0,Finland/France/Germany,21.10
156,I'm getting depressed.,Drama / Romance / Family,121,2011,Sasabuki,Aoi Miyazaki / Masato Sakai / Kimiko Yo,Japanese,68328,8.1,Japan,21.10
157, The Best Exotic Marigold Hotel,Comedy / Drama,124,2011,John Madden,Maggie Smith / Judi Dench / Tom Wilkinson,English,36189,8.0,UK/US/UAE,21.10
158,Teenager ,Drama/Action/Sports,110,2011,Li Han,Yoo Ah In / Kim Yoon Suk / Kim Sang Ho,Korean,28873,8.2,South Korea,21.10
159, Touchback,Drama / Family / Fantasy / Sports,118,2011,Don Handfield,Brian Presley / Kurt Russell / Melanie Lynskey,English,2105,7.9,USA,21.10
160, Poulet aux prunes,Drama / Comedy,93,2011,Maja Shatapi / Vincent Paland,Isabella Rossellini / Golshifteh Farahani / Maria de Medello,French,32562,8.1,France Germany,21.10
161, Cloud Atlas,Drama / Science Fiction / Mystery,134,2012,Tom Tykwer / Lana Wachowski / Lily Wachowski,Tom Hanks / Halle Berry / Jim Broadbent,English,380740,8.1,Germany/USA/Hong Kong/Mainland China/Singapore,21.10
162,A generation of masters ,Drama / Biography / Action / Romance,111,2013,Wong Kar Wai,Tony Leung / Zhang Ziyi / Zhang Zhen,Mandarin,554228,8.1,Mainland China/Hong Kong,21.10
163, Laurence Anyways,Drama / Romance / Gay,168,2012,Xavier Dolan,"Melville Pope, Suzanne Clermont, Natalie Bay",French,17225,8.0,Canada/France,21.10
164, Chasing Mavericks,Drama / Sports,120,2012,Michael Apter / Curtis Hansen,Gerard Butler / Jonny Weston / Elizabeth Shue,English,5149,8.1,USA,21.10
165,Cirque du Soleil: Worlds Away,Fantasy,91,2012,Andrew Adamson,Erica Linz / Igor Zaripov / Lutz Halbhubner,English,5517,8.1,USA,21.10
166,To you,Drama,110,2012,Yasuo Furuhata,Ken Takakura / Yuko Tanaka / Koichi Sato,Japanese,12076,8.2,Japan,21.10
167,dog bites dog,Action / Crime / Drama / Thriller,103,2006,Zheng Baorui,Edison Chen / Li Cansen / Pei Weiying,English,83086,8.1,Hong Kong,21.00
